id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<2000~2002 Peoples R China count>	weight<2010~2012 Peoples R China count>	weight<2017~2019 Peoples R China count>	weight<2000~2002 USA count>	weight<2010~2012 USA count>	weight<2017~2019 USA count>	score<USA ratio for 2000~2002>	score<USA ratio for 2010~2012>	score<USA ratio for 2017~2019>	weight<default>
Computer Science, Hardware & Architecture	-0.527	-0.6366	6	253	34.0626	476	1865	5159	3453	3849	4473	0.878849580045813	0.673608680434022	0.464389534883721	10
Computer Science, Information Systems	-0.3681	-0.5649	6	253	39.3336	719	5475	35927	6052	8186	13175	0.893811844631517	0.599224068516214	0.268319009408985	10
Computer Science, Interdisciplinary Applications	-0.3711	-0.3401	6	253	73.9263	779	4778	12481	6023	9106	11480	0.885474860335196	0.655862863728032	0.479111890154835	10
Computer Science, Software Engineering	-0.3801	-0.6043	6	253	26.672	843	3493	8997	5731	5744	6210	0.871767569212048	0.62184691999567	0.408364568948511	10
Computer Science, Theory & Methods	-0.3885	-0.5942	6	253	33.493	1047	2834	10400	7352	4848	6114	0.875342302655078	0.631085654777402	0.37023131888095	10
Construction & Building Technology	-0.7627	-0.4222	3	253	28.2948	423	2063	11424	1672	3008	5670	0.798090692124105	0.593176888187734	0.331695331695332	10
Criminology & Penology	0.8732	-0.0791	1	253	22.6622	14	59	200	1192	2707	4457	0.988391376451078	0.978669558929863	0.957053897358815	10
Critical Care Medicine	0.3	0.7502	2	253	43.8348	153	667	889	4679	6322	7000	0.968336092715232	0.904564315352697	0.887311446317657	10
Crystallography	-1.0625	-0.0356	3	253	34.3417	1840	8993	6016	2547	2840	2219	0.580578983359927	0.240006760753824	0.269459623557984	10
Cultural Studies	1.0552	-0.3834	1	253	43.4885	16	57	165	566	1193	1439	0.972508591065292	0.9544	0.89713216957606	10
Dance	1.0439	-0.2888	1	253	15.6252	0	0	2	74	83	78	1	1	0.975	10
Demography	0.7547	-0.2076	1	253	37.6345	18	55	131	706	963	1193	0.975138121546961	0.945972495088409	0.901057401812689	10
Dentistry, Oral Surgery & Medicine	0.0294	0.6198	2	253	12.5832	289	1636	2694	4236	5629	6566	0.936132596685083	0.774810736407433	0.709071274298056	10
Dermatology	0.056	0.7321	2	253	22.7492	137	818	1341	4362	6028	7183	0.969548788619693	0.880514168857727	0.842679493195683	10
